comp  name  center_x  center_y  center_z  rin(z-in)  rin(z-out)  dout  length  angle  B  gradient
QF  QC1LPE1211  -452.793247  -1.74e-05  1.678509  0.1  0.1  0.6  0.01  -0.0486386087017752  0  12
QF  QC1LE1215  -452.793003902833  -1.74e-05  1.68350308688023  0.1  0.1  0.6  0.01  -0.0486386087017752  0  12
QF  QC1LPE1219  -452.792761  -2.02e-05  1.688497  0.1  0.1  0.6  0.01  -0.0486584007354928  0  12
QF  QC1LPE1221  -452.792761  -2.02e-05  1.688497  0.1  0.1  0.6  0.01  -0.0486584007354928  0  12
QF  QC1LE1225  -452.79251780399  -2.02e-05  1.69349108206786  0.1  0.1  0.6  0.01  -0.0486584007354928  0  12
QF  QC1LPE1229  -452.792275  -2.29e-05  1.698485  0.1  0.1  0.6  0.01  -0.0486886472914299  0  12
QF  QC1LPE1231  -452.792275  -2.29e-05  1.698485  0.1  0.1  0.6  0.01  -0.0486886472914299  0  12
QF  QC1LE1235  -452.792031652936  -2.29e-05  1.70347907470973  0.1  0.1  0.6  0.01  -0.0486886472914299  0  12
QF  QC1LPE1239  -452.791788  -2.55e-05  1.708473  0.1  0.1  0.6  0.01  -0.048726381309858  0  12
QF  QC1LPE1241  -452.791788  -2.55e-05  1.708473  0.1  0.1  0.6  0.01  -0.048726381309858  0  12
QF  QC1LE1245  -452.79154446449  -2.55e-05  1.71346706552372  0.1  0.1  0.6  0.01  -0.048726381309858  0  12
QF  QC1LPE1249  -452.7913  -2.81e-05  1.718461  0.1  0.1  0.6  0.01  -0.0487677979730078  0  12
QF  QC1LPE1251  -452.7913  -2.81e-05  1.718461  0.1  0.1  0.6  0.01  -0.0487677979730078  0  12
QF  QC1LE1255  -452.791056257652  -2.81e-05  1.72345505543301  0.1  0.1  0.6  0.01  -0.0487677979730078  0  12
QF  QC1LPE1259  -452.790813  -3.06e-05  1.72845  0.1  0.1  0.6  0.01  -0.0488103316468789  0  12
QF  QC1LPE1261  -452.790813  -3.06e-05  1.72845  0.1  0.1  0.6  0.01  -0.0488103316468789  0  12
QF  QC1LE1265  -452.790569045237  -3.06e-05  1.73344404506123  0.1  0.1  0.6  0.01  -0.0488103316468789  0  12
QF  QC1LPE1269  -452.790325  -3.3e-05  1.738438  0.1  0.1  0.6  0.01  -0.048852830414165  0  12
QF  QC1LPE1271  -452.790325  -3.3e-05  1.738438  0.1  0.1  0.6  0.01  -0.048852830414165  0  12
QF  QC1LE1275  -452.790080832996  -3.3e-05  1.74343203468894  0.1  0.1  0.6  0.01  -0.048852830414165  0  12
QF  QC1LPE1279  -452.789836  -3.53e-05  1.748426  0.1  0.1  0.6  0.01  -0.0488949452090156  0  12
QF  QC1LPE1281  -452.789836  -3.53e-05  1.748426  0.1  0.1  0.6  0.01  -0.0488949452090156  0  12
QF  QC1LE1285  -452.789591622674  -3.53e-05  1.75342002440147  0.1  0.1  0.6  0.01  -0.0488949452090156  0  12
QF  QC1LPE1289  -452.789347  -3.75e-05  1.758414  0.1  0.1  0.6  0.01  -0.0489365538583832  0  12
QF  QC1LPE1291  -452.789347  -3.75e-05  1.758414  0.1  0.1  0.6  0.01  -0.0489365538583832  0  12
QF  QC1LE1295  -452.78910241488  -3.75e-05  1.76340801422894  0.1  0.1  0.6  0.01  -0.0489365538583832  0  12
QF  QC1LPE1299  -452.788858  -3.96e-05  1.768402  0.1  0.1  0.6  0.01  -0.0489777087221452  0  12
QF  QC1LPE1301  -452.788858  -3.96e-05  1.768402  0.1  0.1  0.6  0.01  -0.0489777087221452  0  12
QF  QC1LE1305  -452.788613209352  -3.96e-05  1.77339600415884  0.1  0.1  0.6  0.01  -0.0489777087221452  0  12
QF  QC1LPE1309  -452.788368  -4.17e-05  1.77839  0.1  0.1  0.6  0.01  -0.0490184272535942  0  12
QF  QC1LPE1311  -452.788368  -4.17e-05  1.77839  0.1  0.1  0.6  0.01  -0.0490184272535942  0  12
QF  QC1LE1315  -452.788123006003  -4.17e-05  1.78338399418719  0.1  0.1  0.6  0.01  -0.0490184272535942  0  12
QF  QC1LPE1319  -452.787878  -4.37e-05  1.788378  0.1  0.1  0.6  0.01  -0.0490587443593153  0  12
QF  QC1LPE1321  -452.787878  -4.37e-05  1.788378  0.1  0.1  0.6  0.01  -0.0490587443593153  0  12
QF  QC1LE1325  -452.78763280466  -4.37e-05  1.79337198430568  0.1  0.1  0.6  0.01  -0.0490587443593153  0  12
QF  QC1LPE1329  -452.787387  -4.55e-05  1.798366  0.1  0.1  0.6  0.01  -0.049098712399186  0  12
QF  QC1LPE1331  -452.787387  -4.55e-05  1.798366  0.1  0.1  0.6  0.01  -0.049098712399186  0  12
QF  QC1LE1335  -452.787141605061  -4.55e-05  1.80335997450171  0.1  0.1  0.6  0.01  -0.049098712399186  0  12
QF  QC1LPE1339  -452.786896  -4.73e-05  1.808354  0.1  0.1  0.6  0.01  -0.0491383313732062  0  12
QF  QC1LPE1341  -452.786896  -4.73e-05  1.808354  0.1  0.1  0.6  0.01  -0.0491383313732062  0  12
QF  QC1LE1345  -452.786650407205  -4.73e-05  1.8133479647755  0.1  0.1  0.6  0.01  -0.0491383313732062  0  12
QF  QC1LPE1349  -452.786405  -4.9e-05  1.818342  0.1  0.1  0.6  0.01  -0.0491776536412537  0  12
QF  QC1LPE1351  -452.786405  -4.9e-05  1.818342  0.1  0.1  0.6  0.01  -0.0491776536412537  0  12
QF  QC1LE1355  -452.786159210831  -4.9e-05  1.82333595511437  0.1  0.1  0.6  0.01  -0.0491776536412537  0  12
QF  QC1LPE1359  -452.785913  -5.06e-05  1.82833  0.1  0.1  0.6  0.01  -0.0492166966566208  0  12
QF  QC1LPE1361  -452.785913  -5.06e-05  1.82833  0.1  0.1  0.6  0.01  -0.0492166966566208  0  12
QF  QC1LE1365  -452.785667015852  -5.06e-05  1.83332394551421  0.1  0.1  0.6  0.01  -0.0492166966566208  0  12
QF  QC1LPE1369  -452.785421  -5.22e-05  1.838317  0.1  0.1  0.6  0.01  -0.0492554604193076  0  12
QF  QC1LPE1371  -452.785421  -5.22e-05  1.838317  0.1  0.1  0.6  0.01  -0.0492554604193076  0  12
QF  QC1LE1375  -452.785174822268  -5.22e-05  1.84331093597519  0.1  0.1  0.6  0.01  -0.0492554604193076  0  12
QF  QC1LPE1379  -452.784928  -5.36e-05  1.848305  0.1  0.1  0.6  0.01  -0.0492939972891916  0  12
QF  QC1LPE1381  -452.784928  -5.36e-05  1.848305  0.1  0.1  0.6  0.01  -0.0492939972891916  0  12
QF  QC1LE1385  -452.784681629818  -5.36e-05  1.85329892648456  0.1  0.1  0.6  0.01  -0.0492939972891916  0  12
QF  QC1LPE1389  -452.784435  -5.49e-05  1.858293  0.1  0.1  0.6  0.01  -0.0493323072662729  0  12
QF  QC1LPE1391  -452.784435  -5.49e-05  1.858293  0.1  0.1  0.6  0.01  -0.0493323072662729  0  12
QF  QC1LE1395  -452.784188438501  -5.49e-05  1.86328691704246  0.1  0.1  0.6  0.01  -0.0493323072662729  0  12
QF  QC1LPE1399  -452.783942  -5.62e-05  1.868281  0.1  0.1  0.6  0.01  -0.0493704078038439  0  12
